Date,HDFC,NTPC,SBIN,UPL,DRREDDY,GAIL,ULTRACEMCO,TCS,GRASIM,ICICIBANK,TATAMOTORS,RELIANCE,BRITANNIA,HEROMOTOCO,BAJFINANCE,ITC,LT,BAJAJFINSV,HINDUNILVR,BAJAJ-AUTO,COALINDIA,SHREECEM,MARUTI,IOC,TECHM,VEDL,NESTLEIND,BPCL,EICHERMOT,INFY,SUNPHARMA,TITAN,INFRATEL,HDFCBANK,JSWSTEEL,M&M,HINDALCO,ZEEL,INDUSINDBK,AXISBANK,POWERGRID,WIPRO,KOTAKBANK,TATASTEEL,BHARTIARTL,CIPLA,ASIANPAINT,HCLTECH,ADANIPORTS,ONGC
2012-04-13,680.7,166.75,2212.3,128.5,1735.0,356.25,1475.35,1068.35,2640.35,865.0,289.3,751.55,582.95,2056.55,878.15,236.25,1282.3,673.9,425.15,1639.45,338.9,2876.85,1322.75,251.6,706.05,186.2,4922.65,677.85,2179.65,2402.55,585.4,238.0,,529.35,739.85,691.85,124.85,124.45,330.6,1162.15,112.0,419.3,581.5,449.8,323.5,314.05,3301.1,478.95,129.9,260.8
2012-04-16,677.8,165.5,2265.1,126.9,1759.45,355.85,1441.05,1069.75,2608.65,873.6,300.7,748.1,589.55,2068.7,883.05,241.05,1301.5,665.15,421.25,1649.5,339.15,2863.4,1342.3,252.55,711.5,184.85,4785.25,678.45,2169.55,2364.55,577.85,236.95,,529.75,752.05,686.05,124.1,124.7,342.05,1196.85,111.85,420.95,583.9,455.15,317.05,312.45,3354.55,484.8,128.9,259.1
2012-04-17,683.8,167.5,2304.3,126.95,1760.6,365.4,1460.7,1090.85,2662.8,885.45,301.35,746.4,576.75,2124.9,884.75,246.2,1332.8,672.7,422.2,1672.35,350.05,2955.9,1342.2,256.2,708.2,190.05,4828.85,686.85,2195.35,2380.7,584.7,235.25,,530.25,750.45,684.4,128.0,126.85,343.1,1211.65,113.6,421.2,582.1,461.55,322.3,314.05,3328.25,480.85,129.65,269.05
2012-04-18,680.35,167.9,2291.75,126.4,1767.15,367.4,1480.0,1097.55,2665.4,881.25,309.75,748.6,570.6,2142.15,889.3,241.75,1324.65,708.1,422.85,1716.05,348.05,2965.85,1352.5,262.6,711.45,191.15,4960.5,698.45,2275.95,2371.25,596.65,239.8,,537.65,758.75,692.2,130.75,125.2,345.6,1196.3,113.85,427.4,579.6,465.2,321.45,313.95,3311.15,494.3,129.75,271.3
2012-04-19,690.65,168.15,2269.05,128.0,1806.45,360.45,1469.3,1102.95,2668.15,877.85,319.25,741.65,570.2,2195.55,892.3,244.05,1317.8,700.35,425.5,1729.7,361.6,2909.1,1391.25,261.65,709.7,193.15,4903.9,694.8,2320.25,2405.4,597.4,236.75,,554.05,762.8,706.55,128.1,125.5,345.3,1195.55,114.65,420.65,594.55,467.15,323.65,319.8,3328.85,503.45,134.1,272.25
2012-04-20,684.7,165.25,2260.45,128.0,1793.1,360.85,1463.0,1088.45,2661.7,861.05,316.65,730.85,565.75,2189.3,892.1,245.2,1291.35,703.6,423.0,1708.7,362.45,2827.4,1390.7,263.55,711.25,189.9,4978.75,696.25,2299.6,2407.4,588.8,237.9,,551.1,750.75,726.45,125.0,124.3,343.45,1177.15,113.85,424.8,592.1,470.3,324.35,321.85,3340.55,505.35,130.65,267.0
2012-04-23,683.4,165.95,2193.2,127.75,1778.2,353.3,1466.75,1064.25,2584.7,843.9,309.75,736.3,562.6,2146.7,869.1,244.75,1253.8,702.25,417.1,1675.7,355.4,2776.2,1377.55,259.55,696.8,181.45,4882.65,674.65,2248.25,2310.9,595.65,234.9,,545.35,709.85,714.6,118.8,124.1,334.15,1134.45,110.75,424.15,580.95,462.85,312.5,315.3,3471.0,495.55,127.25,267.85
2012-04-24,683.0,167.3,2190.7,120.0,1763.45,347.15,1415.85,1194.2,2538.8,847.8,311.85,735.1,568.45,2191.2,848.95,245.05,1218.55,699.35,420.5,1648.05,356.1,2769.8,1363.75,263.8,698.05,182.35,4883.7,687.6,2199.4,2349.55,595.45,236.9,,541.85,694.35,716.75,120.65,124.9,334.95,1113.9,110.0,442.0,569.65,470.25,307.35,313.85,3462.0,510.2,128.65,268.35
2012-04-25,676.85,164.9,2171.75,120.45,1781.8,335.75,1413.0,1171.05,2521.95,838.4,313.95,736.3,569.5,2243.45,849.5,245.95,1231.5,697.9,419.1,1654.7,349.5,2742.9,1382.1,260.05,689.9,186.0,4935.7,686.25,2179.25,2349.95,593.3,229.85,,546.65,687.85,703.3,119.85,125.15,330.85,1094.75,108.45,410.4,565.15,465.5,313.0,312.1,3422.3,507.6,129.65,264.65
2012-04-26,674.1,161.15,2162.35,112.95,1774.2,323.65,1429.2,1194.65,2508.9,841.45,312.1,745.05,561.05,2169.5,841.25,249.05,1226.65,704.05,414.7,1606.45,359.4,2739.8,1381.95,255.6,713.75,185.45,4735.15,661.0,2221.05,2356.2,597.4,229.4,,540.5,678.0,703.85,116.25,124.15,332.85,1086.65,108.1,402.65,582.85,466.8,308.3,308.55,3482.0,500.95,124.6,264.15
2012-04-27,674.45,161.9,2125.5,109.6,1781.0,328.35,1418.8,1204.0,2533.7,860.85,312.65,742.0,560.45,2175.05,863.25,245.8,1220.25,737.9,415.4,1582.4,351.25,2779.2,1382.5,259.2,696.95,183.65,4696.05,662.8,2273.75,2391.0,598.75,235.2,,541.15,681.25,712.65,118.8,123.8,320.85,1104.0,108.25,405.8,583.15,461.15,307.4,310.55,3523.3,510.95,126.35,262.6
2012-04-28,677.25,162.6,2131.3,113.6,1785.35,330.4,1410.35,1201.85,2521.1,868.75,313.1,739.95,559.7,2184.05,861.0,246.9,1219.95,738.05,417.6,1591.05,350.85,2794.55,1397.45,259.65,692.3,185.35,4709.35,666.8,2274.0,2395.8,598.1,236.4,,543.55,680.5,714.6,119.85,125.15,322.75,1121.2,108.6,406.7,582.85,463.25,308.3,310.8,3548.05,509.45,125.95,264.2
2012-04-30,673.6,162.5,2138.1,116.3,1762.95,330.45,1424.9,1246.6,2564.45,882.35,316.55,745.1,561.8,2241.05,873.8,245.5,1226.85,731.7,417.6,1624.45,352.35,2834.0,1371.85,265.55,701.75,188.4,4674.15,670.65,2283.95,2462.1,603.1,233.0,,542.5,693.3,710.05,120.75,126.3,331.7,1106.95,111.25,405.05,582.8,463.65,310.5,312.0,3526.8,512.05,127.8,270.05
2012-05-02,672.2,159.85,2140.6,120.1,1759.85,329.35,1422.7,1267.25,2507.65,882.05,304.5,743.55,561.55,2244.8,889.55,244.6,1214.35,734.75,425.0,1592.15,345.8,2812.55,1332.9,259.25,692.25,188.2,4622.7,657.55,2266.1,2472.0,596.65,243.45,,549.9,697.2,715.5,120.1,126.5,324.55,1103.25,109.6,404.0,586.6,461.85,317.95,318.05,3530.8,518.45,126.05,267.5
2012-05-03,666.8,157.0,2084.1,127.1,1747.65,324.85,1416.2,1279.5,2475.5,857.55,300.95,738.85,556.6,2073.05,874.65,241.7,1199.3,748.55,434.75,1560.5,336.95,2812.1,1290.0,258.8,689.65,188.05,4613.65,661.65,2235.05,2482.9,599.55,246.4,,554.05,679.85,705.65,118.8,125.3,322.35,1058.3,108.65,412.35,582.15,448.1,315.0,317.65,3603.6,515.25,124.95,265.2
2012-05-04,659.95,154.95,1996.25,119.95,1747.65,320.95,1364.85,1276.8,2418.1,833.35,301.8,726.45,550.5,1977.55,845.85,238.15,1147.15,702.75,434.9,1502.95,329.8,2732.7,1281.3,257.4,682.25,180.6,4568.4,652.4,2162.1,2441.95,601.3,241.0,,537.5,668.8,687.05,115.9,126.25,322.5,1009.75,106.75,414.9,564.05,432.5,311.75,326.0,3615.35,513.2,124.1,259.4
2012-05-07,663.65,156.15,2028.2,119.35,1715.4,318.9,1413.2,1273.25,2492.0,848.25,308.4,715.7,550.4,1953.6,893.8,236.35,1202.9,720.3,429.95,1518.1,328.5,2745.5,1310.85,265.1,683.55,183.8,4576.1,686.15,2189.7,2437.6,600.25,248.7,,532.25,721.75,690.0,115.65,126.95,326.55,1022.55,105.8,413.85,577.1,441.6,316.05,327.55,3644.4,501.9,127.7,260.6
2012-05-08,657.3,155.9,1955.35,120.8,1709.5,323.75,1404.6,1200.7,2472.75,830.15,296.4,708.35,541.65,1899.15,879.0,226.9,1158.75,717.25,430.85,1489.95,334.7,2709.5,1306.0,265.1,667.35,180.55,4488.8,680.35,2168.0,2393.9,594.65,245.1,,515.35,689.9,676.65,117.75,124.5,316.85,983.45,105.75,404.0,555.5,427.2,315.4,325.0,3655.55,478.7,123.05,258.25
2012-05-09,650.05,151.45,1883.1,116.6,1684.0,322.6,1373.5,1225.55,2462.95,821.95,292.85,695.1,533.25,1872.2,855.85,239.9,1156.95,725.5,432.55,1518.2,326.5,2695.5,1301.25,266.95,654.9,176.95,4444.8,688.9,2129.1,2366.25,599.75,244.5,,512.65,660.7,655.3,118.8,123.5,306.65,961.15,104.25,406.25,533.55,417.45,309.4,322.9,3708.75,486.6,122.85,256.05
2012-05-10,651.4,149.4,1843.15,119.75,1697.65,322.45,1392.9,1232.55,2477.5,814.15,289.2,694.15,553.65,1843.9,858.0,239.25,1154.95,719.05,433.25,1503.75,321.3,2700.15,1261.85,265.8,658.3,175.1,4502.5,704.25,2198.3,2344.2,593.6,245.85,,517.5,661.25,660.75,117.5,121.8,315.6,981.25,102.5,408.65,541.65,415.6,310.1,326.4,3653.85,491.3,125.05,259.4
